Event ID,Date/Time UTC,Depth km,Magnitude,Latitude,Longitude,Distance From Closest Volcano
av91098718,2023-04-29 07:36:11,1.3,1.24,56.914,-158.1768333333,3.85 km (2.39 mi) N of Aniakchak (340º)
av91098618,2023-04-28 12:06:03,-3.2,0.96,57.0598333333,-158.3186666667,22.17 km (13.77 mi) NNW of Aniakchak (333º)
av91098588,2023-04-28 06:10:05,-2.41,1.08,56.8751666667,-158.1223333333,2.11 km (1.31 mi) ESE of Aniakchak (110º)
av91098548,2023-04-28 02:04:28,-3.2,0.82,57.0243333333,-158.3288333333,19.06 km (11.84 mi) NNW of Aniakchak (327º)
av91098403,2023-04-27 11:43:30,-3.2,2.62,56.8741666667,-158.0085,8.94 km (5.55 mi) ESE of Aniakchak (95º)
av91098408,2023-04-27 11:21:52,-1.71,1.25,56.8728333333,-158.115,2.61 km (1.62 mi) ESE of Aniakchak (112º)
av91098328,2023-04-26 18:06:37,-3.2,1.58,56.844,-158.0378333333,8.25 km (5.12 mi) SE of Aniakchak (120º)
av91098343,2023-04-26 10:49:22,-3.2,1.24,56.854,-158.0445,7.38 km (4.58 mi) SE of Aniakchak (114º)
av91098333,2023-04-26 05:14:55,-3.2,1.31,56.9178333333,-158.1068333333,4.99 km (3.10 mi) NE of Aniakchak (36º)
av91863811,2023-04-26 05:12:43,-3.2,2.34,56.9063333333,-158.0873333333,4.95 km (3.07 mi) ENE of Aniakchak (56º)
av91098268,2023-04-25 21:39:08,-1.78,1.79,56.9048333333,-158.0776666667,5.37 km (3.33 mi) ENE of Aniakchak (61º)
av91098288,2023-04-25 18:43:00,-2.19,1.46,56.8743333333,-158.0471666667,6.60 km (4.10 mi) ESE of Aniakchak (97º)
av91098298,2023-04-25 16:49:44,-3.2,1.75,56.8996666667,-158.0338333333,7.63 km (4.74 mi) E of Aniakchak (75º)
av91098248,2023-04-22 20:25:39,-3.2,1.67,56.8696666667,-158.1878333333,2.39 km (1.48 mi) WSW of Aniakchak (237º)
av91098068,2023-04-21 22:42:53,3.81,1.58,56.8766666667,-158.172,1.16 km (0.72 mi) WSW of Aniakchak (243º)
av91098003,2023-04-21 05:56:51,-3.2,2.15,56.9063333333,-158.0936666667,4.64 km (2.88 mi) ENE of Aniakchak (53º)
av91097998,2023-04-21 03:52:41,0.05,0.67,56.8903333333,-158.108,3.02 km (1.87 mi) E of Aniakchak (71º)
av91097898,2023-04-20 16:30:00,-0.15,1.02,56.8861666667,-158.0686666667,5.27 km (3.27 mi) E of Aniakchak (84º)
