-161.000000,53.480000,0.010881	-163.225000,53.475000,27.694019
-161.000000,53.480000,0.010699	-163.175000,53.475000,25.456846
-161.000000,53.480000,0.010567	-163.075000,53.475000,22.792831
-161.000000,53.480000,0.010427	-162.975000,53.475000,21.023365
-161.000000,53.480000,0.010277	-162.925000,53.475000,19.469477
-161.000000,53.480000,0.010199	-162.825000,53.475000,17.664986
-161.000000,53.480000,0.010036	-162.725000,53.475000,16.497366
-161.000000,53.480000,0.009952	-162.675000,53.475000,15.496788
-161.000000,53.480000,0.009865	-162.575000,53.475000,14.359780
-161.000000,53.480000,0.009865	-162.475000,53.475000,13.638818
-161.000000,53.480000,0.009776	-162.425000,53.475000,13.031996
-161.000000,53.480000,0.009684	-162.325000,53.475000,12.353408
-161.000000,53.480000,0.009684	-162.225000,53.475000,11.929458
-161.000000,53.480000,0.009684	-162.175000,53.475000,11.576591
-161.000000,53.480000,0.009591	-162.075000,53.475000,11.183962
-161.000000,53.480000,0.009591	-161.975000,53.475000,10.937941
-161.000000,53.480000,0.009591	-161.925000,53.475000,10.729920
-161.000000,53.480000,0.009495	-161.825000,53.475000,10.491120
-161.000000,53.480000,0.009495	-161.725000,53.475000,10.334236
-161.000000,53.480000,0.009495	-161.675000,53.475000,10.192981
-161.000000,53.480000,0.009495	-161.575000,53.475000,10.018459
-161.000000,53.480000,0.009495	-161.475000,53.475000,9.894377
-161.000000,53.480000,0.009495	-161.425000,53.475000,9.773998
-161.000000,53.480000,0.009495	-161.325000,53.475000,9.615765
-161.000000,53.480000,0.009398	-161.225000,53.475000,9.497828
-161.000000,53.480000,0.009398	-161.175000,53.475000,9.380211
-161.000000,53.540000,0.011475	-163.475000,53.525000,38.535416
-161.000000,53.540000,0.011341	-163.425000,53.525000,35.484482
-161.000000,53.540000,0.011221	-163.325000,53.525000,31.781269
-161.000000,53.540000,0.011083	-163.225000,53.525000,29.264248
-161.000000,53.540000,0.010981	-163.175000,53.525000,26.994577
-161.000000,53.540000,0.010811	-163.075000,53.525000,24.283432
-161.000000,53.540000,0.010687	-162.975000,53.525000,22.477098
-161.000000,53.540000,0.010622	-162.925000,53.525000,20.885571
-161.000000,53.540000,0.010485	-162.825000,53.525000,19.030262
