-163.000000 53.000000 -0.000217	-165.450000 52.650000 13.340294 
-163.000000 53.000000 -0.000217	-165.400000 52.650000 13.175192 
-163.000000 53.000000 -0.000217	-165.350000 52.650000 13.011186 
-163.000000 53.000000 -0.000217	-165.300000 52.650000 12.847871 
-163.000000 53.000000 -0.000217	-165.250000 52.650000 12.684930 
-163.000000 53.000000 -0.000217	-165.200000 52.650000 12.522133 
-163.000000 53.000000 -0.000217	-165.150000 52.650000 12.359333 
-163.000000 53.000000 -0.000217	-165.100000 52.650000 12.196455 
-163.000000 53.000000 -0.000217	-165.050000 52.650000 12.033494 
-163.000000 53.000000 -0.000217	-165.000000 52.650000 11.870496 
-163.000000 53.000000 -0.000217	-164.950000 52.650000 11.707551 
-163.000000 53.000000 -0.000217	-164.900000 52.650000 11.544784 
-163.000000 53.000000 -0.000217	-164.850000 52.650000 11.382330 
-163.000000 53.000000 -0.000217	-164.800000 52.650000 11.220337 
-163.000000 53.000000 -0.000217	-164.750000 52.650000 11.058950 
-163.000000 53.000000 -0.000217	-164.700000 52.650000 10.898308 
-163.000000 53.000000 -0.000217	-164.650000 52.650000 10.738543 
-163.000000 53.000000 -0.000217	-164.600000 52.650000 10.579782 
-163.000000 53.000000 -0.000217	-164.550000 52.650000 10.422162 
-163.000000 53.000000 -0.000217	-164.500000 52.650000 10.265828 
-163.000000 53.000000 -0.000217	-164.450000 52.650000 10.110950 
-163.000000 53.000000 -0.000217	-164.400000 52.650000 9.957733 
-163.000000 53.000000 -0.000217	-166.850000 52.700000 24.120760 
-163.000000 53.000000 -0.000217	-166.800000 52.700000 23.524704 
-163.000000 53.000000 -0.000217	-166.750000 52.700000 22.810810 
-163.000000 53.000000 -0.000217	-166.700000 52.700000 22.080030 
-163.000000 53.000000 -0.000217	-166.650000 52.700000 21.385530 
-163.000000 53.000000 -0.000217	-166.600000 52.700000 20.750559 
-163.000000 53.000000 -0.000217	-166.550000 52.700000 20.180283 
-163.000000 53.000000 -0.000217	-166.500000 52.700000 19.669460 
-163.000000 53.000000 -0.000217	-166.450000 52.700000 19.209480 
-163.000000 53.000000 -0.000217	-166.400000 52.700000 18.792517 
-163.000000 53.000000 -0.000217	-166.350000 52.700000 18.411758 
-163.000000 53.000000 -0.000217	-166.300000 52.700000 18.061413 
-163.000000 53.000000 -0.000217	-166.250000 52.700000 17.736673 
-163.000000 53.000000 -0.000217	-166.200000 52.700000 17.433624 
-163.000000 53.000000 -0.000217	-166.150000 52.700000 17.149122 
-163.000000 53.000000 -0.000217	-166.100000 52.700000 16.880674 
-163.000000 53.000000 -0.000217	-166.050000 52.700000 16.626301 
