mag,lat,lon,depth,time
-0.1,64.6335,-146.9242,-0.7,609927212.25
1.1,65.1507,-146.2232,18.89,609928310.9
1.1,64.7158,-146.8905,14.56,609943518.75
0.2,64.4907,-146.8788,6.1,609974574.57
1.2,64.7623,-148.9033,17.87,609991393.84
1.1,64.82,-147.253,-1.23,610011088.7
0.9,64.8057,-147.3098,9.22,610012785.58
0.9,64.654,-146.9253,-1.84,610087348.35
1.3,64.673,-146.8422,13.05,610114144.11
1.3,64.6725,-146.8745,-3.0,610156336.89
2.9,64.4745,-146.9148,8.12,610169588.81
0.7,64.6553,-146.9255,8.81,610176286.22
1.1,64.8838,-147.7408,19.12,610191862.94
3.2,64.0337,-146.8402,13.71,610269207.83
1.6,64.9105,-147.8618,16.49,610330920.27
1.3,64.4817,-148.9535,15.74,610396531.05
0.9,64.8425,-147.3912,7.39,610417052.73
0.7,64.9227,-147.9913,0.6,610418219.39
0.6,64.7843,-147.7682,13.68,610457824.01
0.8,64.8578,-147.6732,14.39,610537267.05
0.6,64.7765,-147.7455,17.21,610544809.16
1.4,64.8178,-147.321,16.38,610567710.33
1.1,64.5432,-147.8932,17.07,610632715.66
1.2,64.6567,-146.9295,-0.7,610658442.09
1.0,64.8973,-147.8488,12.88,610753089.58
1.3,64.6617,-146.9095,0.0,610788886.48
0.6,64.824,-147.422,7.08,610826609.39
1.7,64.8117,-147.324,14.31,610842992.3
1.2,64.8495,-147.4012,8.27,611018151.69
0.8,64.9647,-148.86,11.27,611049654.34
0.3,64.7147,-147.2473,10.68,611072545.25
1.1,64.4725,-146.9777,-0.78,611134898.35
0.7,64.2197,-147.8788,4.28,611144426.58
1.0,64.7402,-147.3453,-2.96,611159527.6
1.0,64.8427,-148.9695,21.92,611160039.09
1.1,64.7172,-147.525,15.62,611232390.78
0.7,64.5475,-147.1308,-0.36,611320146.52
0.6,64.8408,-147.2952,-0.43,611344880.92
0.8,65.027,-147.4908,6.98,611347355.89
1.7,64.4255,-147.7112,11.99,611437284.06
1.6,64.8172,-147.478,17.44,611488781.28
1.8,64.8877,-147.7457,26.26,611538768.49
0.7,64.9118,-147.9953,-0.43,611545110.06
2.2,64.7007,-147.3567,11.55,611628141.06
0.4,64.9093,-147.9892,-3.0,611631984.85
1.1,64.4482,-146.8912,3.16,611634288.51
1.4,64.786,-148.925,14.38,611762371.85
2.6,65.7118,-147.9345,-1.49,611832798.23
0.8,64.8848,-147.729,27.53,611842068.05
0.3,64.752,-147.472,9.29,611850157.73
0.8,64.5152,-147.974,9.88,611888915.89
0.5,64.8798,-147.7295,24.92,611891351.85
0.4,64.881,-147.7272,24.87,611920090.81
0.5,64.8817,-147.73,24.87,611920541.41
1.2,64.7427,-147.463,14.09,611927629.46
1.8,64.8733,-147.7208,24.35,611930871.45
1.4,64.863,-147.6938,23.0,611990788.32
1.1,64.9577,-147.5103,13.38,612021998.42
1.3,64.9225,-148.5673,16.22,612057032.65
0.3,64.9263,-147.9933,-0.6,612060983.08
0.8,64.9565,-147.6893,17.75,612118829.78
0.2,64.9032,-147.9848,0.2,612152667.35
0.7,64.404,-147.3465,0.03,612230485.97
0.2,64.9027,-147.9788,0.67,612235072.2
1.3,64.989,-148.174,20.02,612344378.76
0.2,64.4635,-147.4218,-0.54,612437422.03
0.5,64.5132,-147.8897,12.86,612456438.97
0.8,64.6588,-146.9165,6.64,612465306.94
0.9,64.6132,-146.8502,-0.3,612475759.06
1.5,64.9808,-148.8048,15.51,612485255.83
0.0,64.9042,-147.9848,-0.21,612583640.44
1.3,64.8228,-147.5152,16.07,612590753.53
0.9,64.9212,-146.4883,4.63,612622642.27
0.3,64.7523,-147.4182,8.24,612636681.89
0.6,64.7503,-147.4112,10.98,612638433.09
1.2,64.239,-148.0042,9.34,612660104.38
1.1,64.5418,-147.7603,12.1,612666252.14
0.9,64.5422,-147.759,11.26,612666382.72
0.7,64.5652,-147.0927,5.51,612669026.37
1.1,64.7653,-147.4375,12.22,612762835.88
1.3,64.6747,-148.7787,16.54,612843948.44
0.9,64.6787,-148.7445,-2.99,612844205.48
1.2,64.563,-147.0838,0.51,612850785.42
0.6,64.9762,-147.7103,10.14,612856697.2
0.4,64.716,-146.8615,0.09,613002559.28
0.5,64.7423,-147.431,7.75,613003600.07
2.4,64.8415,-147.9898,16.17,613135512.03
1.0,64.939,-148.932,21.59,613140730.53
1.0,65.466,-148.4547,5.8,613214443.4
0.6,64.7103,-147.632,14.31,613217362.56
0.2,64.8618,-147.9935,-0.7,613247306.71
0.2,64.859,-147.993,-0.19,613247892.05
0.5,64.856,-147.9912,-0.3,613268251.08
1.5,64.7025,-146.8622,-0.45,613288942.24
1.3,64.8703,-147.7343,23.29,613331019.08
0.3,64.9172,-147.991,-0.52,613363652.18
1.7,65.0375,-148.6887,19.07,613388531.94
0.9,65.1162,-148.5755,14.2,613418347.44
0.6,64.69,-147.9165,17.75,613425749.29
0.8,64.8872,-147.748,17.05,613480134.03
1.0,64.5007,-147.3138,-1.54,613675118.15
0.9,64.8537,-147.6785,15.94,613688543.57
0.6,64.6552,-146.7645,-0.14,613730627.65
0.3,64.6125,-147.9642,9.53,613736422.52
0.9,64.539,-147.4802,7.6,613780953.75
0.7,64.767,-147.3505,3.25,613826258.09
1.7,64.823,-147.5377,19.42,613960770.85
1.2,64.745,-147.449,11.88,614026641.99
1.4,64.8812,-147.9125,15.77,614188128.0
2.4,64.461,-148.721,-3.0,614263113.56
1.9,64.789,-147.3668,15.67,614424762.76
0.5,64.7527,-146.7338,-1.0,614775522.86
0.8,64.7042,-146.8788,-2.46,614782305.96
0.6,64.8238,-147.4093,-3.0,614879328.59
1.5,65.1723,-148.8268,9.8,614978119.26
1.2,64.7398,-147.857,11.69,614978501.26
1.1,64.971,-146.7585,13.75,615087601.09
0.6,64.8782,-147.7338,17.08,615107902.91
0.0,64.9295,-148.004,-0.24,615173767.98
3.5,64.8903,-147.7363,20.61,615178211.69
1.3,64.8688,-147.7135,14.95,615178659.9
0.7,64.7692,-147.7475,15.56,615206393.2
0.5,64.8838,-147.7417,17.59,615226937.04
0.3,64.4603,-147.1767,10.18,615245498.59
0.6,64.879,-147.3912,6.33,615273984.88
1.7,64.774,-146.8165,12.97,615339595.78
2.3,64.4823,-146.8623,9.82,615621152.9
1.1,64.4893,-146.9663,-3.0,615621931.05
1.2,64.5277,-147.1232,8.96,615698252.34
2.1,64.7802,-147.7543,12.27,615721507.5
0.7,64.5747,-147.0712,-0.37,615810566.48
1.6,64.8102,-147.4907,15.12,615846702.0
1.4,64.5655,-147.9298,22.5,615967844.32
0.2,64.4905,-147.8563,0.09,615978072.68
1.5,64.7635,-147.7908,16.9,616048172.12
1.5,64.796,-146.7622,11.83,616098397.18
1.8,64.2388,-147.5087,11.45,616107227.6
1.1,64.4812,-147.8893,11.34,616112877.73
0.5,64.4858,-146.9672,3.05,616117329.33
0.3,64.6808,-148.101,10.31,616158777.77
0.7,64.8245,-148.7652,10.0,616213435.27
0.6,64.5615,-147.1472,7.71,616219927.54
1.7,64.6608,-148.7467,15.31,616248171.34
1.0,65.3413,-147.7533,-0.83,616263296.16
0.7,64.7722,-147.3828,-0.43,616264058.21
1.4,64.8083,-147.7842,14.19,616321929.17
1.0,64.4558,-147.9545,10.65,616361516.3
1.5,64.812,-148.9223,13.25,616373235.97
1.6,65.1482,-146.4017,2.61,616397642.99
1.2,64.9243,-148.9553,12.62,616416948.89
2.0,64.8885,-147.7438,25.77,616423028.72
1.9,64.6727,-148.6973,16.14,616426943.47
1.1,64.8852,-147.0467,14.6,616430095.25
1.1,64.4863,-146.9428,6.21,616557866.85
1.0,64.9097,-147.9042,15.27,616593522.49
0.8,64.7385,-148.493,16.62,616632056.73
1.1,65.1767,-146.214,18.4,616644674.47
1.0,64.5195,-148.2455,17.95,616730376.3
0.6,64.7648,-147.4407,10.44,616765078.67
2.1,64.3928,-146.7503,10.28,616866577.17
1.0,64.8918,-147.5452,13.33,616879751.23
1.3,65.538,-148.2137,-3.0,616891507.32
1.2,64.2965,-148.4097,18.4,616960535.62
1.5,64.8262,-147.5342,19.62,617034700.73
1.4,65.1745,-148.6997,11.47,617049917.7
0.8,64.8582,-147.7352,13.78,617175946.94
0.8,64.7917,-147.7207,13.49,617181784.05
1.7,64.876,-148.666,20.51,617212381.93
0.5,64.3983,-147.275,-0.27,617292051.26
1.2,64.4553,-146.8965,11.86,617326011.85
0.6,64.4673,-147.9993,12.32,617385716.2
1.8,65.7908,-147.7167,3.57,617402500.91
1.3,64.598,-147.0573,10.18,617422835.33
0.4,64.7202,-148.1937,10.77,617464134.68
1.6,64.743,-148.579,2.11,617523735.01
0.8,64.6448,-148.9725,-3.0,617560403.47
1.4,64.4573,-147.8808,20.06,617601633.24
1.1,65.4057,-147.8178,-1.98,617671857.61
0.3,64.803,-147.5605,8.29,617679968.72
1.4,64.407,-147.401,-0.56,617684204.63
1.6,64.857,-147.4172,9.77,617710820.66
0.8,64.7933,-147.3848,12.81,617719548.29
1.5,64.6445,-147.786,14.66,617771840.76
0.5,64.4397,-147.7077,6.06,617808222.17
0.5,64.7073,-147.8058,23.6,617898890.75
0.7,64.9725,-147.4863,11.94,617930092.04
1.2,64.6563,-146.549,-0.57,617944628.01
1.3,64.5965,-147.0303,17.68,617996364.26
1.3,64.8867,-147.7453,17.0,618053059.8
0.7,64.7402,-146.8465,0.26,618152009.22
2.8,65.4598,-148.331,16.1,618187342.17
1.6,64.6552,-146.9155,6.58,618192079.48
1.3,64.6958,-148.6708,16.07,618216761.69
0.5,64.8817,-147.7395,17.29,618233557.5
0.5,64.8132,-147.8347,14.82,618239998.49
2.3,65.1375,-148.8257,11.18,618314025.86
1.0,64.3185,-148.4122,14.47,618350535.2
2.5,64.2847,-148.3118,17.08,618371862.72
0.7,64.9738,-148.7505,14.08,618396659.39
0.7,64.6365,-146.9625,2.57,618558830.56
1.7,65.0233,-148.7048,17.65,618596153.0
1.3,64.409,-148.4352,5.84,618611193.09
1.1,64.8753,-147.8007,15.97,618663811.8
2.1,65.0708,-146.2602,9.42,618671654.55
1.8,64.3917,-146.9647,7.36,618711762.6
1.1,64.6325,-146.9987,14.57,618766998.54
1.7,64.808,-147.2775,10.19,618790097.35
0.7,64.9408,-148.021,13.14,618886615.13
0.8,64.8197,-147.2512,9.37,618987324.12
2.1,65.367,-148.3333,18.24,618992658.05
1.3,64.7705,-147.9972,24.07,619002388.64
1.6,64.0402,-148.1863,103.43,619023125.84
1.9,64.8117,-148.309,18.8,619273038.1
1.6,65.1023,-148.9988,-0.95,619441858.27
2.1,65.8522,-148.327,10.0,619454399.08
0.5,64.9262,-147.481,9.98,619483049.46
0.4,64.5065,-147.8958,8.61,619567606.57
0.8,64.6592,-148.0778,14.11,619612493.8
0.6,64.6657,-148.3272,9.1,619669063.68
1.0,64.7572,-147.4345,6.81,619812389.27
1.0,64.783,-147.77,12.45,620052008.06
0.7,64.5102,-147.7097,13.75,620127225.52
0.8,64.9227,-147.5562,13.75,620144595.17
1.0,64.8368,-147.657,14.27,620651595.19
1.6,64.0525,-148.2655,11.37,620713148.52
0.6,64.7122,-147.116,-0.99,620787807.62
1.1,64.9788,-148.2237,16.52,620978010.83
2.3,65.8518,-148.5627,10.0,621063033.05
2.1,64.0307,-147.4498,8.27,621106947.4
1.2,64.8455,-147.6858,15.67,621181353.79
0.2,64.9237,-147.9895,3.24,621226899.6
0.1,64.8678,-147.9355,4.29,621312641.05
1.1,64.7158,-147.5362,12.75,621380770.22
0.7,64.7135,-147.0543,-1.01,621482543.15
1.2,64.6713,-146.379,12.44,621551633.53
0.9,64.9283,-148.7343,14.17,621607083.84
1.2,64.2998,-146.9768,8.74,621695225.08
1.0,64.8938,-147.1997,11.25,621783387.36
1.4,64.7195,-148.6042,20.44,621811944.94
1.1,64.7973,-147.3178,-0.63,622095641.13
0.4,64.7592,-147.5612,9.02,622096544.3
1.6,65.4525,-148.0865,13.16,622155908.51
0.9,64.7995,-148.7838,2.83,622167576.73
1.2,64.4985,-147.2357,-0.39,622210586.61
1.1,64.6382,-147.868,24.09,622302014.72
0.3,65.0302,-147.9673,-3.0,622363182.29
1.5,64.93,-147.814,15.15,622363189.83
0.5,64.9095,-147.8195,14.52,622363520.95
1.0,64.8872,-147.9198,18.02,622363544.88
1.4,64.9188,-147.8672,15.0,622363551.01
1.9,65.0672,-148.5312,21.37,622469179.4
1.2,64.7147,-146.8882,4.4,622487391.74
1.1,64.7688,-148.8248,-3.0,622557678.77
0.9,64.8672,-147.318,8.01,622577989.63
1.0,64.8715,-147.3183,10.11,622578500.26
